"Gene","Accuracy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLGLA",0.892307692307692,285.720006298337,-2.78019265576821,0.272072469966813,-10.2185739560762,1.63731769303783e-24,7.74605933996139e-23
"CHST7",0.892307692307692,153.828268149982,-1.53084200175132,0.193052775413696,-7.92965549690157,2.19754643175376e-15,3.20453457578229e-14
"MT1E",0.892307692307692,6801.61270025613,-3.04580675165139,0.326190280966608,-9.33751533805874,9.86212231036563e-21,2.85903122626248e-19
"TMEM220",0.892307692307692,899.527581177277,-2.0974062623733,0.173293607682991,-12.1031946326036,1.01579682425822e-33,2.07336635084061e-31
"MLYCD",0.892307692307692,329.064156958299,-1.66060268878203,0.12041274084288,-13.7909217675632,2.89042915130757e-43,2.99861378525651e-40
"NCAM1",0.892307692307692,55.1601572914253,-2.21940989066359,0.286857532507049,-7.7369761611857,1.01809138952267e-14,1.36535173974397e-13
"FBXO43",0.892307692307692,29.1383131552528,3.14967218637841,0.261740190253174,12.0335825512002,2.36663835497189e-33,4.49320986504729e-31
"AC004538.3",0.892307692307692,44.2213431154181,-2.61742740830971,0.292670183894148,-8.94326635355643,3.77833642934165e-19,8.82259779738877e-18
"C21orf62",0.884615384615385,9.51000189761126,-3.06811733746056,0.26712446678914,-11.4857218971351,1.55630014332528e-30,1.8376994537932e-28
"GABARAPL1",0.884615384615385,1990.90098316949,-1.77999126005415,0.151193744244145,-11.7729160617906,5.38310036184859e-32,7.89832942172706e-30
"CENPA",0.884615384615385,39.0610533988668,3.17753248970303,0.317765599396594,9.99961133532661,1.52996348055698e-23,6.30979881599273e-22
"KIF19",0.884615384615385,15.086721745351,-2.4013713343091,0.247295718148395,-9.71052532688052,2.71931940998091e-22,9.55148612105507e-21
"KAZN",0.884615384615385,76.4757475995099,-1.87015937484083,0.196623019380521,-9.5113958718208,1.88121049265336e-21,5.99182043756522e-20
"NXF3",0.884615384615385,16.9459891683225,-3.16919172064442,0.293658715842326,-10.7920914642494,3.75153261884617e-27,2.63223477082714e-25
"ADH6",0.884615384615385,5396.04355531052,-1.88897112330893,0.178577652798874,-10.5778695917591,3.7744271757714e-26,2.25271249632091e-24
"BMP5",0.884615384615385,41.2102963260769,-2.86173735406384,0.396231301578992,-7.22239091828369,5.10813763587967e-13,5.50171234879617e-12
"UCK2",0.884615384615385,308.936578268311,1.76070061105335,0.121900518668311,14.4437499551924,2.74492186155331e-47,6.64454085286672e-44
"CLDN10",0.884615384615385,68.5524420084644,-2.68598361141973,0.433261833957623,-6.19944661842161,5.66620310883753e-10,4.04303286429655e-09
"ASPM",0.884615384615385,389.348428127463,3.35640240512081,0.263814263084898,12.7225964429402,4.42894730761059e-37,1.6081507673934e-34
"HJURP",0.884615384615385,118.834839142928,3.40938187940224,0.28304778206184,12.0452520580337,2.05447456661357e-33,3.95221041132391e-31
"DLGAP5",0.884615384615385,92.2208616343933,3.42693106507764,0.290022199247629,11.8160991605737,3.22305814936926e-32,4.97996771930203e-30
"APOF",0.884615384615385,2834.57844588734,-3.23978644821583,0.286329763985363,-11.3148783525748,1.10755825151542e-29,1.14086354929149e-27
"ACSM3",0.884615384615385,619.202902123058,-2.28028688656289,0.215235704290921,-10.5943709203598,3.16461518440468e-26,1.90711689049538e-24
"GCDH",0.884615384615385,1192.8884164076,-1.80551042145351,0.151383474514669,-11.9267339268168,8.58771463685863e-33,1.50755791228248e-30
"DDX19B",0.884615384615385,183.691920815839,-1.0967466931739,0.0981256415814715,-11.1769632839883,5.28681919463892e-29,5.01867725378664e-27
"CD81",0.884615384615385,4625.03971415179,-1.52544826337445,0.146682068492018,-10.3996915168773,2.48737134227848e-25,1.313693868191e-23
"CFTR",0.884615384615385,215.989442429809,-2.73244427589923,0.405953915865142,-6.73092232667844,1.68590952656213e-11,1.49991730252915e-10
"C21orf33",0.884615384615385,2162.020462651,-1.35517067953354,0.103591180395298,-13.0819117454042,4.17798481659174e-39,2.18376603692144e-36
"LEPREL1",0.884615384615385,64.9835488643299,-1.53573336050403,0.188659055125765,-8.14025788203102,3.94436858306478e-16,6.3441870764599e-15
"CCNB2",0.884615384615385,106.423587106182,3.01076649591807,0.273304911854406,11.0161448452926,3.19449396152893e-28,2.74537457380155e-26
"CD5L",0.884615384615385,510.694397499816,-3.26981012349971,0.331616158803162,-9.86022555505378,6.19101585611717e-23,2.34467573127108e-21
"KCNN2",0.884615384615385,97.4894849392991,-2.93001129096023,0.327415526535836,-8.94890759140445,3.59017548830836e-19,8.39673249471669e-18
"ESR1",0.884615384615385,315.986596732268,-2.70796997030766,0.237298198418593,-11.4116752185822,3.6561913673924e-30,4.10058095907392e-28
"LINC01093",0.884615384615385,433.066694311039,-4.03075937913631,0.359412268200333,-11.2148630855572,3.44719451810295e-29,3.348966767955e-27
"CDC37L1",0.884615384615385,629.673378625633,-1.60770387700739,0.122452441466077,-13.1292104735435,2.23979523218738e-39,1.27571709616821e-36
"CDCA8",0.884615384615385,94.7208258087668,2.99558810531869,0.255070499675287,11.7441574354234,7.56729333761405e-32,1.07752321995595e-29
"RND3",0.884615384615385,1677.02408769763,-2.36484968068877,0.176748275863418,-13.3797609574206,7.94023239201702e-41,5.49161596484073e-38
"LILRB5",0.884615384615385,179.250188427482,-2.2197740261197,0.194399220380961,-11.4186364624799,3.37487236802586e-30,3.79974002117888e-28
"FOS",0.884615384615385,3891.93323691243,-3.49443944144173,0.245685649094457,-14.2232135019748,6.57623813204725e-46,1.12368567799829e-42
"CTB-167B5.2",0.884615384615385,102.453377168257,-2.77270691990615,0.260769342282352,-10.6327948509528,2.09731346488797e-26,1.29767592701989e-24
"CYP26A1",0.884615384615385,260.442500804321,-4.11480621475349,0.402673037378945,-10.2187279325612,1.63471932898322e-24,7.74605933996139e-23
"INTS8",0.884615384615385,344.061401795532,1.23429556092217,0.0893785365343708,13.8097535357106,2.225918429065e-43,2.39475846398074e-40
"TMEM27",0.884615384615385,361.388259128105,-2.25274519696008,0.28945630041048,-7.78267805456452,7.10051650786166e-15,9.71529927086037e-14
"CPEB3",0.884615384615385,499.572405207929,-1.96403693430243,0.16528935083555,-11.8824166491917,1.46081991878725e-32,2.43872971269725e-30
"TOP2A",0.884615384615385,705.682000608818,3.33377574164691,0.289462343845107,11.5171310276919,1.08152319577215e-30,1.30900357461622e-28
"TARBP1",0.884615384615385,585.986077093347,1.62409575407717,0.130457832071782,12.4492008512263,1.41252393456078e-35,3.83467245337584e-33
"SPC25",0.876923076923077,45.6558873185936,2.73924712900697,0.25947824756379,10.5567505358366,4.72744307508159e-26,2.79111313912541e-24
"RFX5",0.876923076923077,399.715911505707,1.31749772246614,0.121671100414024,10.8283537995706,2.52656628778664e-27,1.83479243819066e-25
"KIF2C",0.876923076923077,99.0194034560159,3.21433111089852,0.261591241679615,12.2876098230967,1.0558180688556e-34,2.4535522611294e-32
